tanggal;nominal
2020-09-14 00.00.00;3358000
2020-09-15 00.00.00;2887263
2020-09-16 00.00.00;2117567
2020-09-17 00.00.00;5488242
2020-09-18 00.00.00;13769144
2020-09-19 00.00.00;6816844
2020-09-20 00.00.00;4731449
2020-09-21 00.00.00;9232113
2020-09-22 00.00.00;5612430
2020-09-23 00.00.00;3748048
2020-09-24 00.00.00;4829615
2020-09-25 00.00.00;18820930
2020-09-26 00.00.00;30783268
2020-09-27 00.00.00;5995134
2020-09-28 00.00.00;6974147
2020-09-29 00.00.00;12074048
2020-09-30 00.00.00;9698657
2020-10-01 00.00.00;10126493
2020-10-02 00.00.00;21598993
2020-10-03 00.00.00;10254429
2020-10-04 00.00.00;2991808
2020-10-05 00.00.00;8523000
2020-10-06 00.00.00;4291403
2020-10-07 00.00.00;6650780
2020-10-08 00.00.00;3970565
2020-10-09 00.00.00;20082117
2020-10-10 00.00.00;7025000
2020-10-11 00.00.00;11963026
2020-10-12 00.00.00;2777000
2020-10-13 00.00.00;3565000
2020-10-14 00.00.00;4719537
2020-10-15 00.00.00;7155843
2020-10-16 00.00.00;9688886
2020-10-17 00.00.00;9123880
2020-10-18 00.00.00;810437
2020-10-19 00.00.00;3419000
2020-10-20 00.00.00;2098590
2020-10-21 00.00.00;3954299
2020-10-22 00.00.00;7355495
2020-10-23 00.00.00;9038680
2020-10-24 00.00.00;5800510
2020-10-25 00.00.00;1219529
2020-10-26 00.00.00;6040024
2020-10-27 00.00.00;8247541
2020-10-28 00.00.00;8128443
2020-10-29 00.00.00;3745872
2020-10-30 00.00.00;12926669
2020-10-31 00.00.00;8520372
2020-11-01 00.00.00;3188928
2020-11-02 00.00.00;7733059
2020-11-03 00.00.00;5480566
2020-11-04 00.00.00;6330617
2020-11-05 00.00.00;3862228
2020-11-06 00.00.00;11372114
2020-11-07 00.00.00;3304577
2020-11-08 00.00.00;2403344
2020-11-09 00.00.00;1434000
2020-11-10 00.00.00;489000
2020-11-11 00.00.00;216001
2020-11-12 00.00.00;1050000
2020-11-13 00.00.00;2146000
2020-11-14 00.00.00;1509000
2020-11-15 00.00.00;1000000
2020-11-16 00.00.00;0
2020-11-17 00.00.00;3867253
2020-11-18 00.00.00;1257500
2020-11-19 00.00.00;6181589
2020-11-20 00.00.00;9692658
2020-11-21 00.00.00;2710000
2020-11-22 00.00.00;1170000
2020-11-23 00.00.00;3682000
2020-11-24 00.00.00;5735414
2020-11-25 00.00.00;5527244
2020-11-26 00.00.00;3602538
2020-11-27 00.00.00;11080114
2020-11-28 00.00.00;5010973
2020-11-29 00.00.00;2421170
2020-11-30 00.00.00;9170937
2020-12-01 00.00.00;12020745
2020-12-02 00.00.00;7249299
2020-12-03 00.00.00;2475688
2020-12-04 00.00.00;7641000
2020-12-05 00.00.00;3973520
2020-12-06 00.00.00;2030000
2020-12-07 00.00.00;14035911
2020-12-08 00.00.00;4074066
2020-12-09 00.00.00;3355215
2020-12-10 00.00.00;7025959
2020-12-11 00.00.00;10518200
2020-12-12 00.00.00;1727554
2020-12-13 00.00.00;6339294
2020-12-14 00.00.00;2776033
2020-12-15 00.00.00;2429831
2020-12-16 00.00.00;2730000
2020-12-17 00.00.00;6043929
2020-12-18 00.00.00;9498704
